Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,Consumption per Capita
United Kingdom,1.3363,85675,4659178,8.47,30354.10055,36077.85235
Japan,110.3974,76506,3493313,14.57,4340205.94,29597.69729
"Korea, Rep.",1099.2926,74988,2991813,12.34,30938436.71,20302.98833
China,6.609,1464810,2210597,5.91,59811.59536,5213.020471
Brazil,3.6513,641820,2209372,7.43,19397.36354,7497.803986
Germany,1.1817,70560,2062462,17.18,38858.79897,34293.154
France,1.1817,49891,1767461,12.54,34513.29602,32058.93946
Australia,0.7481,45778,1378035,23.29,74017.79319,43083.1507
Italy,1.1817,34670,1362431,9.05,28437.50976,27359.00874
India,68.3734,1006802,1073383,20.15,104076.6354,1419.411063
