Year,Month_Arr
Jan-11,53317.00
Feb-11,35594.00
Mar-11,44787.00
Apr-11,62136.00
May-11,90646.00
Jun-11,84210.00
Jul-11,70021.00
Aug-11,71827.00
Sep-11,56106.00
Oct-11,46792.00
Nov-11,40330.00
Dec-11,40341.00
Jan-12,53466.00
Feb-12,38098.00
Mar-12,49395.00
Apr-12,67265.00
May-12,106374.00
Jun-12,87945.00
Jul-12,63315.00
Aug-12,74421.00
Sep-12,65351.00
Oct-12,51117.00
Nov-12,42779.00
Dec-12,48307.00
Jan-13,59790.00
Feb-13,44335.00
Mar-13,58214.00
Apr-13,75110.00
May-13,124916.00
Jun-13,112074.00
Jul-13,93968.00
Aug-13,97633.00
Sep-13,72106.00
Oct-13,57621.00
Nov-13,50826.00
Dec-13,59241.00
Jan-14,64873.00
Feb-14,45619.00
Mar-14,60871.00
Apr-14,82322.00
May-14,135119.00
Jun-14,116728.00
Jul-14,103639.00
Aug-14,111035.00
Sep-14,81808.00
Oct-14,64113.00
Nov-14,55500.00
Dec-14,64040.00
Jan-15,80022.00
Feb-15,53274.00
Mar-15,69103.00
Apr-15,98792.00
May-15,162644.00
Jun-15,133701.00
Jul-15,116325.00
Aug-15,128317.00
Sep-15,93431.00
Oct-15,80485.00
Nov-15,60841.00
Dec-15,70758.00
Jan-16,93707.00
Feb-16,57103.00
Mar-16,75751.00
Apr-16,107193.00
May-16,167630.00
Jun-16,144313.00
Jul-16,119263.00
Aug-16,126351.00
Sep-16,98334.00
Oct-16,75720.00
Nov-16,67632.00
Dec-16,73774.00
Jan-17,101615.00
Feb-17,63354.00
Mar-17,79250.00
Apr-17,109908.00
May-17,180460.00
Jun-17,155577.00
Jul-17,125628.00
Aug-17,134583.00
Sep-17,100337.00
Oct-17,81787.00
Nov-17,70988.00
Dec-17,81979.00
Jan-18,102965.00
Feb-18,64342.00
Mar-18,95004.00
Apr-18,123416.00
May-18,197535.00
Jun-18,166486.00
Jul-18,128123.00
Aug-18,139491.00
Sep-18,112677.00
Oct-18,88541.00
Nov-18,76174.00
Dec-18,83281.00
Jan-19,110434.00
Feb-19,72624.00
Mar-19,99137.00
Apr-19,124077.00
May-19,200569.00
Jun-19,172882.00
Jul-19,138234.00
Aug-19,143392.00
Sep-19,119966.00
Oct-19,99145.00
