"","53","3","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Country Name","Indicator Name",2011,2012,2013,2014,2015,2016,2017,2018,2019
"2","Australia","GDP per capita (constant LCU)",68451.67221,69902.63033,70485.85729,71201.36979,71722.84845,72567.68008,73044.92425,74017.79319,NA
"3","Brazil","GDP per capita (constant LCU)",20455.6445,20663.16901,21098.94093,21024.57281,20109.66934,19285.45303,19333.93317,19397.36354,NA
"4","China","GDP per capita (constant LCU)",38276.30871,41084.02141,44057.62639,47034.87425,50027.92404,53109.78475,56382.2886,59811.59536,NA
"5","Germany","GDP per capita (constant LCU)",35987.16103,36070.36785,36126.11388,36776.53567,37093.83904,37616.15819,38399.63044,38858.79897,NA
"6","France","GDP per capita (constant LCU)",32667.98259,32612.05079,32631.58728,32785.9249,33012.77788,33241.4411,33990.03201,34513.29602,NA
"7","United Kingdom","GDP per capita (constant LCU)",27836.65071,28052.59974,28461.58183,28984.53134,29432.35872,29783.49281,30134.18512,30354.10055,NA
"8","India","GDP per capita (constant LCU)",69874.5096,72785.13218,76522.61736,81256.8666,86779.92812,92851.92794,98455.68527,104076.6354,NA
"9","Italy","GDP per capita (constant LCU)",29048.29413,28106.53097,27271.09138,27020.79352,27257.35446,27653.09728,28169.85476,28437.50976,NA
"10","Japan","GDP per capita (constant LCU)",3951513.46,4017002.588,4103268.994,4124113.573,4178980.817,4209284.547,4297534.375,4340205.94,NA
"11","Korea, Rep.","GDP per capita (constant LCU)",26271145.85,26732478.68,27381774.97,28119533.94,28752128.27,29461101.98,30233342.85,30938436.71,NA
