"","Country","Indicator","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2","Australia","Consumer Exp Per Capita",45341.938755303,49312.764244254,50022.2045631101,46059.1439159648,42710.7916339418,38429.5636372791,40718.8724754958,43083.1507009199,NA
"3","Brazil","Consumer Exp Per Capita",10456.4963305435,9888.83907582348,9914.99513397863,9946.00932952828,7380.97003503696,7373.33843777191,8296.2431655316,7497.80398641934,NA
"4","China","Consumer Exp Per Capita",2775.12591787997,3179.83704685366,3571.1738790906,3917.22313031878,4242.36081737431,4365.57104155107,4665.25773679218,5213.02047058655,NA
"5","Germany","Consumer Exp Per Capita",34263.7257238659,32535.8187506518,34338.3870701943,35016.2072052604,29800.8445961848,30489.3816802309,31919.860824374,34293.1539994454,NA
"6","France","Consumer Exp Per Capita",34475.1172202958,32155.8961586379,33540.8187741674,33734.0404517153,28505.0916333017,28828.996235823,30050.7840078831,32058.9394601754,NA
"7","United Kingdom","Consumer Exp Per Capita",35837.3186212259,36234.8371985689,36917.4410032799,39965.5426232056,37756.686701461,34592.2776943838,33773.6684189474,36077.8523470149,NA
"8","India","Consumer Exp Per Capita",981.181363588858,969.487031815309,984.872399142021,1079.18762324713,1114.86266533223,1204.34009179529,1387.14954957138,1419.41106346672,NA
"9","Italy","Consumer Exp Per Capita",31239.2592258645,28430.7700018124,28691.9595574243,28466.2688105145,24147.6361942324,24487.0735058207,25572.0871777156,27359.0087438653,NA
"10","Japan","Consumer Exp Per Capita",37782.8103854247,38344.3418031952,32009.8866177567,29934.5516829567,26375.4414390323,29329.456609349,28811.113598158,29597.6972886079,NA
"11","Korea, Rep.","Consumer Exp Per Capita",15783.4013575363,16126.6010081743,17066.2877727655,18207.8981790703,17433.3024397732,17621.3980226675,18865.7017835841,20302.988330299,NA
