"","Country","Indicator","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2","Australia","International Tourism Exp Per Capita",1520.45494669119,1549.52181728566,1521.82651696555,1382.79239209453,1201.4614547912,1360.96591996323,1605.20383418164,NA,NA
"3","Brazil","International Tourism Exp Per Capita",124.58829991721,130.505057382082,145.67547170915,147.94558800172,99.5540856302759,82.7888379498135,110.622028614773,NA,NA
"4","China","International Tourism Exp Per Capita",54.0014730718011,75.4996501800925,94.7236588133021,166.641500582729,182.19614649728,181.416080048453,185.901564849844,NA,NA
"5","Germany","International Tourism Exp Per Capita",1243.71250256135,1196.54355293324,1273.18779492075,1255.85157287068,1044.33271200344,1061.28005541899,1180.74691361296,NA,NA
"6","France","International Tourism Exp Per Capita",848.938474916433,762.825855920476,794.682476031682,881.324444591886,716.242515808557,729.287603869639,752.694109205837,NA,NA
"7","United Kingdom","International Tourism Exp Per Capita",1207.71904445157,1247.89051228958,1272.29466787371,1329.77554417707,1382.19828533467,1337.8038591481,1084.95667477393,NA,NA
"8","India","International Tourism Exp Per Capita",10.9566691934883,11.1448821325814,10.8397095370384,13.5010369802881,13.4991928874094,14.4838513509622,16.3267887444974,NA,NA
"9","Italy","International Tourism Exp Per Capita",483.786907487134,440.865380666824,447.422108210473,474.70650185214,402.054437746044,412.057248346287,460.596561336032,NA,NA
"10","Japan","International Tourism Exp Per Capita",311.030797994258,320.985042584366,253.003256306642,224.779219962915,182.883570209453,203.024522847291,143.367793791603,NA,NA
"11","Korea, Rep.","International Tourism Exp Per Capita",444.463241598283,456.853927440784,485.019570031014,515.028979543264,548.015858959924,581.843860598899,648.075811929464,NA,NA
