"","Country","Indicator","11p","12p","13p","14p","15p","16p","17p","18p","19p"
"1","Country Name","Indicator Name",2011,2012,2013,2014,2015,2016,2017,2018,2019
"2","Australia","Population, total",22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,NA
"3","Brazil","Population, total",197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,NA
"4","China","Population, total",1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,NA
"5","Germany","Population, total",80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922,NA
"6","France","Population, total",65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244,NA
"7","United Kingdom","Population, total",63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,NA
"8","India","Population, total",1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,NA
"9","Italy","Population, total",59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,NA
"10","Japan","Population, total",127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,NA
"11","Korea, Rep.","Population, total",49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256,NA
