Year,Month_Arr
Jan 2011,"103,137"
Feb 2011,63619
Mar 2011,56951
Apr 2011,"63,664"
May 2011,88889
Jun 2011,85309
Jul 2011,"139,478"
Aug 2011,154686
Sep 2011,"113,528"
Oct 2011,"90,206"
Nov 2011,"73,684"
Dec 2011,"79,136"
Jan 2012,"161,730"
Feb 2012,"66,041"
Mar 2012,"84,185"
Apr 2012,"100,429"
May 2012,"118,026"
Jun 2012,"121,226"
Jul 2012,"152,607"
Aug 2012,"151,130"
Sep 2012,"151,130"
Oct 2012,"111,714"
Nov 2012,"87,084"
Dec 2012,"99,679"
Jan 2013,"173,113"
Feb 2013,"122,672"
Mar 2013,"103,531"
Apr 2013,"113,835"
May 2013,"150,344"
Jun 2013,"155,402"
Jul 2013,"234,125"
Aug 2013,"267,949"
Sep 2013,"184,267"
Oct 2013,"125,841"
Nov 2013,"110,389"
Dec 2013,"130,565"
Jan 2014,"231,311"
Feb 2014,"121,639"
Mar 2014,"128,611"
May 2014,"139,847"
Jun 2014,"185,562"
Jul 2014,"282,297"
Aug 2014,"314,081"
Sep 2014,"214,186"
Oct 2014,"145,993"
Nov 2014,"124,575"
Dec 2014,"149,083"
Jan 2015,"220,972"
Feb 2015,"202,542"
Mar 2015,"153,262"
Apr 2015,"161,774"
May 2015,"225,832"
Jun 2015,"215,206"
Jul 2015,"319,205"
Aug 2015,"360,291"
Sep 2015,"271,200"
Oct 2015,"180,054"
Nov 2015,"146,552"
Dec 2015,"171,680"
Jan 2016,"295,621"
Feb 2016,"210,772"
Mar 2016,"178,966"
Apr 2016,"185,609"
May 2016,"244,428"
Jun 2016,"252,119"
Jul 2016,"358,115"
Aug 2016,"395,634"
Sep 2016,"309,938"
Oct 2016,"242,901"
Nov 2016,"168,496"
Dec 2016,"207,343"
Jan 2017,"381,258"
Feb 2017,"184,985"
Mar 2017,"195,901"
Apr 2017,"208,877"
May 2017,"271,100"
Jun 2017,"264,065"
Jul 2017,"358,270"
Aug 2017,"406,161"
Sep 2017,"299,295"
Oct 2017,"227,422"
Nov 2017,"173,174"
Dec 2017,"203,407"
Jan 2018,"313,261"
Feb 2018,"245,575"
Mar 2018,"199,627"
Apr 2018,"198,328"
May 2018,"260,403"
Jun 2018,"258,787"
Jul 2018,"324,725"
Aug 2018,"388,259"
Sep 2018,"281,169"
Oct 2018,"198,306"
Nov 2018,"142,810"
Dec 2018,"180,563"
Jan 2019,"340,387"
Feb 2019,"207,495"
Mar 2019,"192,431"
Apr 2019,"184,556"
May 2019,"254,943"
Jun 2019,"249,772"
Jul 2019,"304,336"
Aug 2019,"372,942"
Sep 2019,"246,200"
Oct 2019,"167,639"
