Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,24.5,20.7,18.2,15.6,13.3,12,8.5,8.5,9,10.03,12.35,14.57,17,18.22
Japan,12.8,12,14.8,16,15,18.7,10.2,10.9,9.3,12.22,8.12,8.47,9.76,10.48
South Korea,3.6,4.4,3.8,5.5,9.4,7.5,13,18.1,21.2,21.24,8.65,9.05,7.96,21.05
Brazil,13.2,9.6,5.5,7,5.2,3.8,3.2,3.5,3.2,5.36,16.7,12.34,12.73,18.48
Germany,8.7,10.2,13.8,16,15.4,18.6,16.4,12.8,12.8,10.87,7.25,5.91,7.4,9.3
France,1.4,8.1,8.7,12,14.5,23.9,13.4,13,18.8,16.28,7.3,7.43,10.11,13.67
UK,13.7,21.1,25.5,27.8,31.8,27.3,20.6,16.9,19.4,20.41,20.42,20.15,20.29,21.05
Australia,17.8,16.5,16.5,19.8,23.7,22.7,16.6,16.6,20.1,21.24,15.38,17.18,17.99,19.18
Italy,2.4,7.1,9.3,11.1,16,18.3,13.3,15.2,22.9,22.1,10.86,12.54,14.83,15.03
India,19.5,21.7,24.7,28.7,26.8,30.1,24.1,18.7,19.8,23.78,26.02,23.29,26.07,27.75
